주차장명,주소,총 주자면,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),기본 주차 시간(분 단위),기본 주차 요금,추가 단위 시간(분 단위),추가 단위 요금,일 최대 요금,현재 주차 차량수,현재 주차 차량수 업데이트시간,운영구분,유무료구분,새주소,"공휴일 유,무료 구분",야간무료개방여부,"토요일 유,무료 구분",최종데이터 동기화 시간,주차현황 정보 제공여부,주차현황 정보 제공여부명,공유 주차장 여부,월 정기권 금액
동서울호텔길 노상공영주차장(구),광진구 자양동 609-1,26,900,1800,900,1500,0,0,5,250,0,0,0,0,,1,Y,광진구 뚝섬로43길 14,Y,N,N,2020-11-06 15:25,0,미연계,N,100000
자양4동 공영주차장(구),광진구 자양동 5-5,83,0,2400,0,2400,0,2400,5,150,0,0,0,73,2023-04-04 15:27,1,Y,광진구    ,N,N,N,2023-02-06 16:43,1,20분,N,100000
자양유수지 공영주차장(구),광진구 자양동 594-0,281,0,2400,0,2400,0,2400,5,150,0,0,0,197,2023-04-04 15:27,1,Y,광진구 뚝섬로52길 74,N,N,N,2021-09-13 17:47,1,20분,N,0
자양전통시장 공영주차장(구),광진구 자양동 631-18,24,900,1900,900,1900,900,1900,5,250,5,250,,0,,3,Y,광진구 자양로13길 59,N,N,N,2019-06-10 9:38,0,미연계, ,
중곡3동 마을공원 주차장(구),광진구 중곡동 195-1,162,0,2400,0,2400,0,2400,5,75,0,0,0,135,2023-04-04 15:27,1,Y,광진구 용마산로33길 25,N,N,N,2021-09-13 17:20,1,20분,N,0
중곡복개천 공영주차장(B)(구),광진구 중곡동 277-20,35,900,1800,900,1500,0,0,5,200,5,200,0,0,,1,Y,,Y,N,N,2019-06-10 10:29,0,미연계, ,100000
중곡복개천 공영주차장(구),광진구 중곡동 150-196,41,900,1800,900,1500,0,0,5,200,5,200,0,0,,1,Y,,Y,N,N,2019-06-10 10:29,0,미연계, ,100000
중곡시장주차장(구),광진구 중곡동 221-6,19,900,1900,900,1900,900,1900,5,250,0,0,0,0,,1,Y,광진구 긴고랑로11길 18-6,N,N,N,2019-06-10 9:38,0,미연계, ,0
공유) 광장동 IoT 공유주차장(구),광진구 광장동 141-1 ,39,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-03 17:46,2,Y,,N,N,N,2020-07-13 14:52,0,미연계,Y,0
송림 기사식당길 공영주차장(구),광진구 자양동 227-1,45,900,1800,900,1500,0,0,5,200,5,200,0,0,,1,Y,광진구 아차산로 306,Y,N,N,2019-06-10 11:31,0,미연계, ,90000
송림 기사식당길 공영주차장(구),광진구 자양동 794-0,39,900,1800,900,1500,0,0,5,200,5,200,0,0,,1,Y,광진구 아차산로 312,Y,N,N,2019-06-10 10:57,0,미연계, ,90000
송림기사식당길(B) 공영주차장(구),광진구 자양동 584-3,8,900,1800,900,1500,0,0,5,200,5,200,0,0,,1,Y,광진구 자양번영로 26,Y,N,N,2019-06-10 11:29,0,미연계, ,0
송림기사식당길(B) 공영주차장(구),광진구 자양동 601-9,9,900,1800,900,1500,0,0,5,200,5,200,0,0,,1,Y,광진구 자양번영로 26,Y,N,N,2019-06-10 11:29,0,미연계, ,90000
능동공영주차장(구),광진구 능동 205-0,77,0,2400,0,2400,0,2400,5,150,0,0,0,0,,1,Y,광진구 천호대로112길 56,N,N,N,2021-09-13 17:44,0,미연계,N,0
광진광장 공영주차장(구),광진구 군자동 374-9,33,0,2400,0,2400,0,2400,5,250,0,0,100000,0,2023-01-12 12:40,1,Y,광진구 광나루로 389,N,N,N,2023-02-06 16:46,0,미연계,N,0
동서울 노외주차장(구),광진구 구의동 598-1,25,800,1900,800,1900,0,0,5,250,5,250,30000,0,,1,Y,광진구    ,Y,N,N,2019-06-10 9:31,0,미연계, ,100000
동서울 호텔길(B) 공영주차장(구),광진구 구의동 625-3 ,27,900,1800,900,1500,900,1500,5,250,0,0,10000,0,,3,Y,,N,N,N,2020-11-06 15:10,0,미연계,N,0
신성시장길공영노상주차장(구),광진구 중곡동 83-16,9,900,1800,900,1500,0,0,5,250,5,250,0,0,,1,Y,광진구 영화사로 27,Y,N,N,2019-06-10 10:58,0,미연계, ,100000
신성시장길공영노상주차장(구),광진구 중곡동 88-21,26,900,1800,900,1500,0,2400,5,250,5,250,0,0,,1,Y,광진구 영화사로 33,N,N,N,2019-06-10 11:29,0,미연계, ,100000
신성시장길노상공영주차장(구),광진구 구의동 558-11,4,900,1800,900,1500,0,0,5,250,5,250,0,0,,1,Y,광진구 영화사로 67,Y,N,N,2019-06-10 11:31,0,미연계, ,100000
구의1동 공영주차장(구),광진구 구의동 243-78,172,0,2400,0,2400,0,2400,5,150,0,0,0,0,2023-03-03 21:09,1,Y,광진구 자양로18길 78,N,N,N,2023-02-06 16:47,0,미연계,N,
구의2동 주택가 공영주차장(구),광진구 구의동 30-10,90,0,2400,0,2400,0,2400,5,75,0,0,0,0,,1,Y,,N,N,N,2021-09-13 17:21,0,미연계,N,0
구의3동 공영주차장(구),광진구 구의동 219-15,159,0,2400,0,2400,0,2400,5,150,0,0,,0,2022-11-23 14:14,1,Y,광진구 광나루로52길 83,N,N,N,2021-09-13 17:12,0,미연계,N,0
공유) 능동 IoT 공유주차장(구),광진구 능동 315-10 ,11,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-03 17:35,2,Y,광진구 능동로24길 11,N,N,N,2020-07-13 14:59,0,미연계,Y,0
공유) 능동로24길 IoT 공유주차장(구),광진구 능동 18-60,17,0,2400,0,2400,0,2400,10,1200,0,0,0,0,,3,Y,광진구 능동로24길 29,N,N,N,2021-02-17 10:56,0,미연계,N,0
화양동 공영(구),광진구 화양동 63-2,44,0,2400,0,2400,0,2400,5,150,5,150,,0,,1,Y,광진구 군자로 22,N,N,N,2019-06-10 9:31,0,미연계, ,80000
