"기준년월","주차장명","정기권대수(소형)","정기권대수(대형)","현재판매량(소형)","현재판매량(대형)"
"2023-03","가양 라이품","30","0","30","0"
"2023-03","개화산역","350","0","350","0"
"2023-03","개화역","310","0","310","0"
"2023-03","구파발역","250","0","250","0"
"2023-03","도봉산역","230","0","230","0"
"2023-03","동구로","50","0","23","0"
"2023-03","동구로(승합)","15","0","11","0"
"2023-03","동대문","1119","0","1044","0"
"2023-03","마장동","10","0","10","0"
"2023-03","마포유수지","460","0","306","0"
"2023-03","복정역","370","0","370","0"
"2023-03","사당노외","125","0","125","0"
"2023-03","서울글로벌센터","25","0","25","0"
"2023-03","세종로","1000","0","290","0"
"2023-03","수서역","700","0","614","0"
"2023-03","신방화역","220","0","220","0"
"2023-03","신월4동","30","0","30","0"
"2023-03","신천유수지","200","0","200","0"
"2023-03","암사1동","80","0","80","0"
"2023-03","영등포구청역","130","0","130","0"
"2023-03","용산주차빌딩","520","0","364","0"
"2023-03","웃우물(RV)","15","0","15","0"
"2023-03","웃우물(일반)","49","0","46","0"
"2023-03","일원터널","11","0","11","0"
"2023-03","잠실역","340","0","340","0"
"2023-03","장안1동","70","0","70","0"
"2023-03","장안2동","70","0","70","0"
"2023-03","종묘","1160","0","886","0"
"2023-03","천왕역","235","0","235","0"
"2023-03","천호역","1580","0","1580","0"
"2023-03","학여울역","160","0","144","0"
"2023-03","한강진역","140","0","140","0"
"2023-03","훈련원공원","810","0","605","0"
"2023-03","구로디지털단지역","25","0","25","0"
"2023-03","신대방역","35","0","35","0"
"2023-03","가양 라이품","30","0","30","0"
"2023-03","개화산역","350","0","350","0"
"2023-03","개화역","310","0","310","0"
"2023-03","구파발역","250","0","250","0"
"2023-03","도봉산역","230","0","230","0"
"2023-03","동구로","50","0","23","0"
"2023-03","동구로(승합)","15","0","11","0"
"2023-03","동대문","1119","0","1044","0"
"2023-03","마장동","10","0","10","0"
"2023-03","마포유수지","460","0","306","0"
"2023-03","복정역","370","0","370","0"
"2023-03","사당노외","125","0","125","0"
"2023-03","서울글로벌센터","25","0","25","0"
"2023-03","세종로","1000","0","290","0"
"2023-03","수서역","700","0","614","0"
"2023-03","신방화역","220","0","220","0"
"2023-03","신월4동","30","0","30","0"
"2023-03","신천유수지","200","0","200","0"
"2023-03","암사1동","80","0","80","0"
"2023-03","영등포구청역","130","0","130","0"
"2023-03","용산주차빌딩","520","0","364","0"
"2023-03","웃우물(RV)","15","0","15","0"
"2023-03","웃우물(일반)","49","0","46","0"
"2023-03","일원터널","11","0","11","0"
"2023-03","잠실역","340","0","340","0"
"2023-03","장안1동","70","0","70","0"
"2023-03","장안2동","70","0","70","0"
"2023-03","종묘","1160","0","886","0"
"2023-03","천왕역","235","0","235","0"
"2023-03","천호역","1580","0","1580","0"
"2023-03","학여울역","160","0","144","0"
"2023-03","한강진역","140","0","140","0"
"2023-03","훈련원공원","810","0","605","0"
"2023-03","구로디지털단지역","25","0","25","0"
"2023-03","신대방역","35","0","35","0"